този;this one
битоля;bitola
скелет;skeleton
слугиня;maid
лимузина;limousine
лицензиране;licensing
обн;prom
Трифонов;Trifonov
Шенген;Schengen
пас;pass
преметна;tossed
изпаря;evaporates
бистър;clear
тръбопровод;pipeline
кореспондент;correspondent
откога;since when
плетен;knitted
смаян;amazed
à;to
ле;le
улесняване;facilitation
журналистика;journalism
кормило;rudder
тръстика;reed
безсилен;powerless
ежедневие;daily routine
red;red
заразя;contagion
оживея;come to life
144;144
задвижвам;drive
изпробвам;try
искря;spark
разпаля;ignites
ат;at
заделя;set aside
арт;art
пукна;burst
съединя;connect
лом;scrap
вдъхвам;I inspire
това;this
картечница;machine gun
легитимирам;legitimize
сашо;sasho
Хюстън;Houston
разболея;get sick
подбера;pick up
Найчесто;Most often
плюя;spit
възход;rise
инженерен;engineer
хитрост;cunning
жица;wire
улавям;I catch
Ц;Ц
мъдря;wise
сателитен;satellite
завладявам;conquer
помръдвам;I move
York;York
станев;I got up
Europe;Europe
ДСК;DSC
Кейси;Casey
ароматен;fragrant
банкеръ;banker
ефенди;Effendi
светкавично;in a flash
сътресение;concussion
замислям;I think
приписвам;attribute
тромав;clumsy
Ес;EU
генератор;generator
отрицателно;negative
патица;duck
подпаля;set on fire
кремъл;Kremlin
светлана;light
селекция;selection
скрито;hidden
слатина;slatina
клюка;gossip
попадение;hit
сухопътен;by land
тръгване;departure
Winthrop;Winthrop
сейф;safe
спестявам;I'm saving
целесъобразен;appropriate
оголя;naked
привидно;seemingly
келнер;waiter
захранвам;power
неправомерен;illegal
електорат;electorate
ЕП;EP
канализация;sewerage
поразлично;differently
разбирателство;understanding
самолетен;airplane
преследвач;pursuer
безумие;madness
влошавам;I'm getting worse
живописен;picturesque
секна;he stopped
демографски;demographic
експрес;express
преспа;prespa
чешма;fountain
шахматен;chess
роня;ronya
силов;forces
възбудя;excited
кавалер;cavalier
калий;potassium
пасивен;passive
фолклор;folklore
60%;60%
225;225
дел;del
склоня;slope
подчинение;obedience
A1;A1
чукам;knock
яхна;yahna
1em;1st
кандидатирам;I am running
петгодишен;five years old
триумф;triumph
отблясък;glare
култов;cult
141;141
КНР;PRC
метода;method
мравка;ant
прелестен;adorable
кран;crane
дестилация;distillation
сребра;silver
армения;Armenia
клисура;gorge
окървавя;bleeds
танков;tanks
халка;ring
химикал;pen
бастун;cane
индонезия;Indonesia
комплимент;compliment
невинност;innocence
процентен;percentage
невинаги;not always
формалност;formality
постановявам;decree
2008а;2008a
МОН;MES
срежа;cut
PVC;PVC
Маргарет;Margaret
надвеся;overhang
оланзапин;olanzapine
спадам;I'm falling
каля;about
пушек;guns
транзакция;transaction
франс;france
чупя;I break
шенгенски;Schengen
инфраструктурен;infrastructural
миши;mice
пъргав;agile
смесване;mixing
320;320
изгора;burned
хладнокръвен;cold-blooded
1932;1932
богданов;богданов
каре;square
данаилов;данаилов
подслон;shelter
телефоненкод;telephone code
загрижен;worried
приближаване;approaching
възрастов;age
запея;sing
лимит;limit
потомец;descendant
1917;1917
